Date,Store_ID,Product_ID,Category,Units_Sold,Unit_Price,Revenue,Stock_On_Hand,Promotion_Flag
2023-01-01,S001,P001,Snacks,7,37.38,261.66,71,0
2023-01-01,S001,P018,Beverages,8,22.55,180.4,269,1
2023-01-01,S001,P016,Dairy,10,27.97,279.7,104,1
2023-01-01,S001,P002,Beverages,6,95.4,572.4,109,0
2023-01-01,S001,P009,Snacks,8,71.58,572.64,160,0
2023-01-01,S001,P006,Bakery,10,91.84,918.4,213,0
2023-01-01,S001,P012,Bakery,8,59.2,473.6,103,0
2023-01-01,S001,P004,Snacks,15,92.97,1394.55,249,0
2023-01-01,S001,P019,Bakery,3,44.98,134.94,131,0
2023-01-01,S001,P017,Bakery,9,58.84,529.56,90,0
2023-01-01,S001,P014,Beverages,13,10.5,136.5,188,0
2023-01-01,S002,P014,Dairy,10,74.19,741.9,50,0
2023-01-01,S002,P006,Dairy,13,57.05,741.65,64,0
2023-01-01,S002,P011,Bakery,5,67.28,336.4,101,0
2023-01-01,S002,P019,Bakery,15,46.93,703.95,220,0
2023-01-01,S002,P017,Beverages,4,24.51,98.04,115,0
2023-01-01,S002,P018,Snacks,13,90.33,1174.29,124,0
2023-01-01,S002,P002,Dairy,15,19.9,298.5,170,0
2023-01-01,S002,P004,Beverages,9,20.79,187.11,221,0
2023-01-01,S002,P008,Dairy,8,73.27,586.16,162,0
2023-01-01,S002,P013,Snacks,18,54.75,985.5,162,0
2023-01-01,S002,P015,Bakery,10,35.08,350.8,274,0
2023-01-01,S002,P012,Snacks,6,98.71,592.26,209,0
2023-01-01,S003,P012,Dairy,8,94.65,757.2,217,0
2023-01-01,S003,P015,Snacks,12,58.73,704.76,91,0
2023-01-01,S003,P010,Bakery,10,99.66,996.6,189,0
2023-01-01,S003,P007,Bakery,11,41.43,455.73,97,1
2023-01-01,S003,P016,Bakery,11,24.55,270.05,215,0
2023-01-01,S003,P003,Snacks,12,24.47,293.64,131,0
2023-01-01,S003,P019,Dairy,11,74.1,815.1,82,0
2023-01-01,S003,P008,Bakery,12,86.43,1037.16,194,0
2023-01-01,S003,P013,Bakery,5,33.87,169.35,287,0
2023-01-01,S003,P009,Snacks,9,66.8,601.2,275,0
2023-01-01,S003,P001,Beverages,11,27.57,303.27,110,0
2023-01-01,S004,P016,Beverages,4,27.18,108.72,210,0
2023-01-01,S004,P002,Bakery,9,85.98,773.82,116,0
2023-01-01,S004,P004,Bakery,7,42.28,295.96,176,0
2023-01-01,S004,P011,Snacks,8,22.3,178.4,295,0
2023-01-01,S004,P007,Beverages,8,33.06,264.48,201,1
2023-01-01,S004,P001,Snacks,7,45.71,319.97,191,1
2023-01-01,S004,P010,Dairy,9,39.53,355.77,235,0
2023-01-01,S004,P008,Beverages,7,37.29,261.03,284,0
2023-01-01,S005,P011,Beverages,9,76.96,692.64,139,0
2023-01-01,S005,P001,Beverages,4,71.96,287.84,178,0
2023-01-01,S005,P010,Beverages,9,18.45,166.05,138,0
2023-01-01,S005,P014,Beverages,11,69.14,760.54,118,0
2023-01-01,S005,P009,Dairy,6,40.77,244.62,269,0
2023-01-02,S001,P011,Dairy,10,71.56,715.6,65,0
2023-01-02,S001,P003,Dairy,16,67.28,1076.48,133,0
2023-01-02,S001,P009,Snacks,11,83.01,913.11,220,1
2023-01-02,S001,P018,Dairy,13,28.6,371.8,78,0
2023-01-02,S001,P015,Dairy,9,65.64,590.76,264,0
2023-01-02,S002,P017,Bakery,9,79.88,718.92,201,1
2023-01-02,S002,P003,Bakery,14,77.58,1086.12,266,0
2023-01-02,S002,P006,Snacks,15,84.38,1265.7,135,0
2023-01-02,S002,P013,Dairy,9,91.48,823.32,125,0
2023-01-02,S002,P015,Bakery,11,50.36,553.96,148,0
2023-01-02,S002,P001,Bakery,5,15.18,75.9,272,0
2023-01-02,S002,P012,Dairy,15,20.54,308.1,125,0
2023-01-02,S002,P014,Snacks,11,17.57,193.27,190,0
2023-01-02,S002,P018,Beverages,13,17.32,225.16,214,0
2023-01-02,S002,P016,Bakery,9,83.15,748.35,120,1
2023-01-02,S002,P008,Bakery,8,53.35,426.8,157,0
2023-01-02,S002,P011,Dairy,7,49.1,343.7,222,0
2023-01-02,S003,P015,Beverages,11,50.91,560.01,166,0
2023-01-02,S003,P017,Dairy,15,35.29,529.35,273,0
2023-01-02,S003,P010,Snacks,10,34.96,349.6,141,0
2023-01-02,S003,P004,Bakery,8,17.0,136.0,90,0
2023-01-02,S003,P002,Dairy,12,37.86,454.32,261,0
2023-01-02,S003,P005,Bakery,12,47.64,571.68,105,1
2023-01-02,S003,P006,Dairy,3,43.88,131.64,114,0
